,0,1
0,J511,DMA2_pat
1,J411,DMA1_pat
2,J414,DMA1_pat
5,J417,DMA1_pat
8,J310,DMA4_pat
9,J311,DMA4_pat
10,J312,DMA4_pat
11,J313,DMA4_pat
12,J314,DMA1_pat
13,J315,DMA1_pat
14,J316,DMA1_pat
15,J318,DMA4_pat
16,J319,DMA4_pat
17,J210,DMA1_pat
18,J211,DMA1_pat
19,J212,DMA1_pat
20,J214,DMA1_pat
21,J217,DMA1_pat
22,J218,DMA1_pat
23,J219,DMA5_pat
24,J110,DMA1_pat
26,J421,DMA1_pat
28,J1153,DMA1_pat
29,J1154,DMA1_pat
30,J1155,DMA1_pat
33,J1157,DMA1_pat
35,J1158,DMA1_pat
36,J428,DMA1_pat
37,J429,DMA1_pat
38,J320,DMA4_pat
39,J321,DMA4_pat
40,J322,DMA4_pat
41,J324,DMA4_pat
42,J1056,DMA1_pat
43,J327,DMA4_pat
44,J1058,DMA1_pat
45,J328,DMA4_pat
46,J329,DMA4_pat
47,J220,DMA5_pat
48,J221,DMA4_pat
49,J225,DMA1_pat
50,J226,DMA1_pat
51,J50,DMA4_pat
52,J51,DMA4_pat
53,J53,DMA5_pat
54,J54,DMA5_pat
55,J128,DMA2_pat
56,J55,DMA5_pat
57,J129,DMA2_pat
58,J56,DMA5_pat
59,J57,DMA5_pat
60,J58,DMA5_pat
61,J59,DMA5_pat
62,J1160,DMA1_pat
63,J1161,DMA1_pat
64,J431,DMA1_pat
65,J432,DMA1_pat
66,J433,DMA1_pat
67,J434,DMA1_pat
68,J435,DMA1_pat
69,J436,DMA1_pat
70,J438,DMA1_pat
71,J1169,DMA3_pat
72,J439,DMA1_pat
73,J330,DMA4_pat
74,J331,DMA4_pat
75,J332,DMA1_pat
76,J333,DMA1_pat
77,J334,DMA1_pat
78,J335,DMA1_pat
79,J336,DMA1_pat
80,J337,DMA1_pat
81,J231,DMA4_pat
82,J232,DMA4_pat
84,J234,DMA2_pat
85,J236,DMA5_pat
86,J237,DMA5_pat
87,J130,DMA2_pat
88,J131,DMA2_pat
89,J132,DMA2_pat
90,J133,DMA2_pat
91,J60,DMA5_pat
92,J134,DMA2_pat
93,J135,DMA2_pat
94,J62,DMA5_pat
95,J64,DMA5_pat
96,J65,DMA5_pat
97,J66,DMA5_pat
98,J67,DMA5_pat
99,J68,DMA5_pat
100,J69,DMA5_pat
101,J1170,DMA3_pat
103,J444,DMA1_pat
104,J341,DMA1_pat
105,J344,DMA3_pat
106,J345,DMA3_pat
107,J347,DMA3_pat
108,J348,DMA4_pat
109,J349,DMA4_pat
110,J241,DMA5_pat
111,J242,DMA5_pat
112,J243,DMA5_pat
113,J244,DMA5_pat
114,J245,DMA5_pat
115,J246,DMA5_pat
116,J247,DMA5_pat
117,J248,DMA5_pat
118,J249,DMA5_pat
119,J142,DMA1_pat
120,J143,DMA1_pat
121,J70,DMA5_pat
122,J144,DMA1_pat
123,J71,DMA5_pat
124,J72,DMA5_pat
125,J73,DMA5_pat
126,J74,DMA5_pat
127,J76,DMA5_pat
128,J77,DMA5_pat
129,J78,DMA4_pat
130,J350,DMA3_pat
131,J351,DMA4_pat
132,J352,DMA4_pat
133,J353,DMA4_pat
134,J354,DMA4_pat
135,J355,DMA4_pat
136,J358,DMA4_pat
137,J359,DMA4_pat
138,J250,DMA5_pat
139,J251,DMA2_pat
140,J252,DMA2_pat
141,J253,DMA2_pat
142,J254,DMA2_pat
143,J257,DMA2_pat
144,J154,DMA1_pat
145,J155,DMA1_pat
146,J82,DMA4_pat
147,J156,DMA1_pat
148,J83,DMA4_pat
149,J84,DMA5_pat
150,J85,DMA5_pat
151,J159,DMA1_pat
152,J86,DMA5_pat
153,J87,DMA5_pat
154,J89,DMA2_pat
155,J360,DMA4_pat
156,J361,DMA4_pat
157,J362,DMA4_pat
160,J365,DMA1_pat
161,J366,DMA1_pat
162,J1208,DMA4_pat
163,J367,DMA1_pat
164,J369,DMA1_pat
165,J160,DMA1_pat
166,J161,DMA1_pat
167,J162,DMA1_pat
168,J163,DMA1_pat
169,J164,DMA1_pat
170,J91,DMA2_pat
171,J165,DMA1_pat
172,J166,DMA1_pat
173,J167,DMA1_pat
174,J94,DMA3_pat
175,J95,DMA1_pat
176,J96,DMA1_pat
177,J97,DMA1_pat
178,J976,DMA1_pat
179,J571,DMA2_pat
180,J572,DMA2_pat
181,J573,DMA2_pat
182,J574,DMA2_pat
183,J575,DMA2_pat
184,J576,DMA2_pat
185,J370,DMA1_pat
187,J372,DMA1_pat
188,J373,DMA1_pat
189,J374,DMA1_pat
190,J375,DMA1_pat
191,J376,DMA1_pat
192,J377,DMA1_pat
193,J1219,DMA1_pat
194,J379,DMA1_pat
195,J171,DMA1_pat
196,J172,DMA1_pat
197,J173,DMA1_pat
198,J174,DMA1_pat
199,J175,DMA1_pat
200,J177,DMA1_pat
201,J179,DMA1_pat
202,J580,DMA2_pat
203,J486,DMA2_pat
204,J487,DMA2_pat
205,J488,DMA2_pat
206,J489,DMA2_pat
207,J381,DMA4_pat
208,J1223,DMA1_pat
209,J382,DMA4_pat
212,J180,DMA1_pat
213,J181,DMA1_pat
214,J1024,DMA1_pat
215,J183,DMA1_pat
216,J1025,DMA1_pat
217,J186,DMA1_pat
218,J187,DMA1_pat
219,J188,DMA1_pat
220,J189,DMA1_pat
221,J490,DMA2_pat
222,J491,DMA2_pat
223,J492,DMA2_pat
224,J493,DMA2_pat
225,J494,DMA2_pat
226,J495,DMA2_pat
227,J496,DMA2_pat
228,J497,DMA2_pat
229,J498,DMA2_pat
230,J500,DMA2_pat
231,J499,DMA2_pat
232,J501,DMA2_pat
233,J502,DMA2_pat
234,J503,DMA2_pat
235,J504,DMA2_pat
237,J509,DMA2_pat
241,J295,DMA4_pat
243,J296,DMA4_pat
244,J408,DMA1_pat
245,J297,DMA4_pat
246,J298,DMA4_pat
247,J191,DMA1_pat
248,J303,DMA4_pat
249,J192,DMA1_pat
250,J193,DMA1_pat
251,J305,DMA4_pat
252,J194,DMA1_pat
253,J195,DMA1_pat
254,J196,DMA1_pat
255,J308,DMA1_pat
256,J198,DMA1_pat
257,J200,DMA1_pat
258,J199,DMA1_pat
259,J201,DMA1_pat
260,J202,DMA1_pat
261,J203,DMA1_pat
262,J204,DMA1_pat
263,J205,DMA1_pat
264,J206,DMA1_pat
265,J207,DMA1_pat
266,J208,DMA1_pat
267,J101,DMA1_pat
268,J102,DMA1_pat
269,J109,DMA1_pat
270,J1,DMA1_pat
271,J2,DMA1_pat
272,J3,DMA1_pat
273,J4,DMA1_pat
274,J5,DMA1_pat
275,J6,DMA1_pat
276,J7,DMA1_pat
277,J8,DMA1_pat
278,J9,DMA1_pat
279,J10,DMA1_pat
280,J11,DMA1_pat
281,J12,DMA1_pat
282,J13,DMA1_pat
293,J25,DMA2_pat
294,J26,DMA2_pat
295,J27,DMA2_pat
296,J28,DMA2_pat
297,J29,DMA2_pat
298,J30,DMA2_pat
299,J31,DMA2_pat
300,J32,DMA2_pat
301,J33,DMA2_pat
302,J34,DMA2_pat
303,J35,DMA2_pat
304,J36,DMA2_pat
305,J37,DMA2_pat
306,J38,DMA2_pat
307,J24,DMA1_pat
308,J39,DMA1_pat
309,J40,DMA1_pat
310,J123,DMA3_pat
311,J140,DMA3_pat
312,J141,DMA3_pat
313,J157,DMA3_pat
314,J158,DMA3_pat
315,J168,DMA3_pat
316,J170,DMA3_pat
317,J176,DMA3_pat
318,J178,DMA3_pat
319,J184,DMA3_pat
320,J185,DMA3_pat
321,J190,DMA3_pat
322,J197,DMA3_pat
323,J213,DMA3_pat
324,J215,DMA3_pat
325,J216,DMA3_pat
326,J227,DMA3_pat
327,J238,DMA3_pat
328,J239,DMA3_pat
329,J255,DMA3_pat
331,J258,DMA3_pat
332,J260,DMA3_pat
333,J265,DMA3_pat
334,J266,DMA3_pat
335,J267,DMA4_pat
336,J61,DMA5_pat
337,J92,DMA5_pat
338,J268,DMA4_pat
339,J278,DMA2_pat
340,J281,DMA2_pat
341,J283,DMA2_pat
342,J284,DMA2_pat
343,J136,DMA2_pat
344,J137,DMA1_pat
345,J145,DMA3_pat
346,J118,DMA5_pat
347,J52,DMA4_pat
348,J81,DMA2_pat
349,J88,DMA2_pat
350,J90,DMA2_pat
351,J93,DMA2_pat
352,J147,DMA2_pat
353,J148,DMA2_pat
354,J149,DMA2_pat
355,J150,DMA2_pat
356,J151,DMA2_pat
357,J152,DMA2_pat
358,J153,DMA2_pat
359,J169,DMA2_pat
360,J182,DMA2_pat
361,J222,DMA2_pat
362,J224,DMA2_pat
363,J230,DMA4_pat
364,J235,DMA4_pat
365,J240,DMA2_pat
